Trading Date,Interval Number,Trading Interval,Participant Code,Facility Code,Energy Generated (MWh),EOI Quantity (MW),Extracted At
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","KEMERTON_GT11",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","KEMERTON_GT12",45.005,88,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","KWINANA_GT2",38.314,72.4,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","KWINANA_GT3",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"SUNAUST22","MERSOLAR_PV1",48.632,95.76,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","MUJA_G5",47.274,90.477,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","MUJA_G6",42.912,82.792,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","MUJA_G7",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","MUJA_G8",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","MUNGARRA_GT1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","MUNGARRA_GT3",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"MUMBIDA","MWF_MUMBIDA_WF1",25.449,45.9,
"2022-09-01",4,2022-09-01 09:30:00,"MERREDIN","NAMKKN_MERR_SG1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"NEWGEN","NEWGEN_KWINANA_CCG1",64.302,113.28,
"2022-09-01",4,2022-09-01 09:30:00,"NGENEERP","NEWGEN_NEERABUP_GT1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"NSFPTNRS","NORTHAM_SF_PV1",0.039,0.078,
"2022-09-01",4,2022-09-01 09:30:00,"WENERGY","PERTHENERGY_KWINANA_GT1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT1",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT10",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT11",25.827,38.47,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT2",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT3",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT4",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT5",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT7",5.914,11.27,
"2022-09-01",4,2022-09-01 09:30:00,"WPGENER","PINJAR_GT9",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"GLDFLDPW","PRK_AG",0,0,
"2022-09-01",4,2022-09-01 09:30:00,"LNDFLLGP","RED_HILL",1.693,3.293,
"2022-09-01",4,2022-09-01 09:30:00,"PERTHNRGY","ROCKINGHAM",0.63,1.262,
"2022-09-01",4,2022-09-01 09:30:00,"MBARKER","SKYFRM_MTBARKER_WF1",0.074,0.076,
"2022-09-01",4,2022-09-01 09:30:00,"PERTHNRGY","SOUTH_CARDUP",0,0,
